Date,Building_Name,Energy_Consumption_kWh,Usage_Level
2023-01-01,Main Block,70.1,Low
2023-01-02,Main Block,153.47,Medium
2023-01-03,Main Block,140.34,Medium
2023-01-04,Main Block,232.15,Medium
2023-01-05,Main Block,126.87,Medium
2023-01-06,Main Block,148.59,Medium
2023-01-07,Main Block,49.61,Low
2023-01-08,Main Block,84.22,Low
2023-01-09,Main Block,205.26,Medium
2023-01-10,Main Block,170.2,Medium
2023-01-11,Main Block,182.99,Medium
2023-01-12,Main Block,202.83,Medium
2023-01-13,Main Block,208.24,Medium
2023-01-14,Main Block,60.15,Low
2023-01-15,Main Block,51.07,Low
2023-01-16,Main Block,152.17,Medium
2023-01-17,Main Block,208.73,Medium
2023-01-18,Main Block,192.76,Medium
2023-01-19,Main Block,132.18,Medium
2023-01-20,Main Block,220.02,Medium
2023-01-21,Main Block,104.1,Low
2023-01-22,Main Block,78.36,Low
2023-01-23,Main Block,258.23,Medium
2023-01-24,Main Block,258.66,Medium
2023-01-25,Main Block,131.41,Medium
2023-01-26,Main Block,149.44,Medium
2023-01-27,Main Block,224.27,Medium
2023-01-28,Main Block,85.52,Low
2023-01-29,Main Block,68.81,Low
2023-01-30,Main Block,233.65,Medium
2023-01-31,Main Block,228.19,Medium
2023-02-01,Main Block,173.87,High
2023-02-02,Main Block,330.35,Medium
2023-02-03,Main Block,287.42,Low
2023-02-04,Main Block,117.26,Low
2023-02-05,Main Block,91.8,Low
2023-02-06,Main Block,185.55,Medium
2023-02-07,Main Block,212.45,Medium
2023-02-08,Main Block,252.56,Low
2023-02-09,Main Block,250.71,High
2023-02-10,Main Block,188.87,High
2023-02-11,Main Block,96.0,Low
2023-02-12,Main Block,71.59,Low
2023-02-13,Main Block,221.11,Low
2023-02-14,Main Block,179.06,High
2023-02-15,Main Block,289.47,Medium
2023-02-16,Main Block,272.92,Medium
2023-02-17,Main Block,240.35,Medium
2023-02-18,Main Block,87.05,Low
2023-02-19,Main Block,66.5,Low
2023-02-20,Main Block,218.29,Low
2023-02-21,Main Block,205.65,High
2023-02-22,Main Block,207.21,High
2023-02-23,Main Block,266.39,Low
2023-02-24,Main Block,150.31,Medium
2023-02-25,Main Block,73.95,Low
2023-02-26,Main Block,55.48,Low
2023-02-27,Main Block,191.34,Low
2023-02-28,Main Block,222.03,Low
2023-03-01,Main Block,253.59,Medium
2023-03-02,Main Block,198.59,High
2023-03-03,Main Block,315.2,Low
