Date,Building_Name,Energy_Consumption_kWh,Usage_Level,Day_of_Week,Month
2023-01-01,Admin Block,69.98,Low,6,1
2023-01-03,Admin Block,187.85,High,1,1
2023-01-04,Hostel Block,252.82,High,2,1
2023-01-04,Computer Lab,336.93,High,2,1
2023-01-04,Library,161.33,High,2,1
2023-01-05,Science Block,271.68,High,3,1
2023-01-05,Hostel Block,250.09,High,3,1
2023-01-05,Computer Lab,289.54,High,3,1
2023-01-06,Computer Lab,256.5,Medium,4,1
2023-01-07,Admin Block,68.53,Low,5,1
2023-01-07,Admin Block,47.79,Low,5,1
2023-01-08,Science Block,161.02,Low,6,1
2023-01-08,Admin Block,74.73,Low,6,1
2023-01-08,Canteen,122.09,Low,6,1
2023-01-09,Admin Block,152.05,Medium,0,1
2023-01-09,Main Block,211.57,Medium,0,1
2023-01-11,Canteen,141.85,High,2,1
2023-01-13,Hostel Block,128.12,Medium,4,1
2023-01-14,Library,30.0,Low,5,1
2023-01-15,Computer Lab,96.9,Low,6,1
2023-01-16,Main Block,282.96,Medium,0,1
2023-01-16,Hostel Block,217.18,Medium,0,1
2023-01-17,Main Block,186.9,High,1,1
2023-01-17,Canteen,143.84,High,1,1
2023-01-17,Hostel Block,167.99,High,1,1
2023-01-19,Library,141.44,High,3,1
2023-01-19,Computer Lab,263.44,High,3,1
2023-01-20,Admin Block,191.43,Medium,4,1
2023-01-20,Hostel Block,125.22,Medium,4,1
2023-01-21,Canteen,110.6,Low,5,1
2023-01-21,Computer Lab,146.85,Low,5,1
2023-01-22,Canteen,121.38,Low,6,1
2023-01-22,Admin Block,72.78,Low,6,1
2023-01-22,Sports Complex,30.0,Low,6,1
2023-01-22,Hostel Block,109.26,Low,6,1
2023-01-23,Sports Complex,88.42,Medium,0,1
2023-01-23,Sports Complex,78.75,Medium,0,1
2023-01-24,Main Block,186.97,High,1,1
2023-01-24,Canteen,233.73,High,1,1
2023-01-25,Canteen,146.86,High,2,1
2023-01-25,Science Block,258.88,High,2,1
